microscope construction,enabled,scientists,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells."
staining techniques,enabled,scientists,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells."
scientists,see,components,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells."
components,inside,cells,"In the 1670s, van Leeuwenhoek discovered bacteria and protozoa. Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells."
matthias schleiden,were studying,tissues,"By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells. Rudolf Virchow later made important contributions to this theory."
theodor schwann,were studying,tissues,"By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells. Rudolf Virchow later made important contributions to this theory."
matthias schleiden and theodor schwann,proposed,unified cell theory,"By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells. Rudolf Virchow later made important contributions to this theory."
unified cell theory,states that,one or more cells comprise all living things,"By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells. Rudolf Virchow later made important contributions to this theory."
unified cell theory,states that,cell is the basic unit of life,"By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells. Rudolf Virchow later made important contributions to this theory."
unified cell theory,states that,new cells arise from existing cells,"By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells. Rudolf Virchow later made important contributions to this theory."
rudolf virchow,made,important contributions to the unified cell theory,"By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells. Rudolf Virchow later made important contributions to this theory."
pap smear,involves,taking a small sample of cells,"Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
pap smear,is,medical test,"Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
cells,taken from,patient's uterine cervix,"Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
sample,sent to,medical lab,"Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
cytotechnologist,stains,cells,"Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
cytotechnologist,examines,cells for any changes,"Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
changes,could indicate,cervical cancer,"Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
changes,could indicate,microbial infection,"Have you ever heard of a medical test called a Pap smear (Figure 4.4)? In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
cytotechnologists,study,cells,"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests. They are trained to determine which cellular changes are within normal limits and which are abnormal."
cytotechnologists,are,professionals,"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests. They are trained to determine which cellular changes are within normal limits and which are abnormal."
cytotechnologists,trained to determine,which cellular changes are within normal limits,"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests. They are trained to determine which cellular changes are within normal limits and which are abnormal."
cytotechnologists,trained to determine,which cellular changes are abnormal,"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests. They are trained to determine which cellular changes are within normal limits and which are abnormal."
study,has focus on,cervical cells,Their focus is not limited to cervical cells. They study cellular specimens that come from all organs.
study,has focus on,cellular specimens,Their focus is not limited to cervical cells. They study cellular specimens that come from all organs.
cellular specimens,come from,all organs,Their focus is not limited to cervical cells. They study cellular specimens that come from all organs.
abnormalities,noticed by,people,"When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
people,consult,pathologist,"When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
pathologist,is,medical doctor,"When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
medical doctor,interprets and diagnoses,changes,"When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
changes,caused by,disease,"When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
disease,in body tissue and fluids,cause,"When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
cytotechnologists,play,vital role,"When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
vital role,in saving,people's lives,"When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause. Cytotechnologists play a vital role in saving people's lives."
doctors,discover,abnormalities,"When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome. These uterine cervix cells, viewed through a light microscope, are from a Pap smear."
