subject,relation,object,sentence
cytoskeleton,has diameter,8 to 10 nm,"Cytoskeleton elements get their name from the fact that their diameter, 8 to 10 nm, is between those of microfilaments and microtubules."
diameter,is between,microfilaments and microtubules,"Cytoskeleton elements get their name from the fact that their diameter, 8 to 10 nm, is between those of microfilaments and microtubules."
Intermediate filaments,are composed of,several intertwined strands,Intermediate filaments consist of several intertwined strands of fibrous proteins.
several intertwined strands,are made of,fibrous proteins,Intermediate filaments consist of several intertwined strands of fibrous proteins.
Intermediate filaments,have no role in,cell movement,Intermediate filaments have no role in cell movement.
function,is,structural,Their function is purely structural.
cell,maintains shape,tension,"They bear tension, thus maintaining the cell's shape, and anchor the nucleus and other organelles in place."
cell,anchors,nucleus,"They bear tension, thus maintaining the cell's shape, and anchor the nucleus and other organelles in place."
cell,anchors,organelles,"They bear tension, thus maintaining the cell's shape, and anchor the nucleus and other organelles in place."
Figure 4.22,shows,intermediate filaments,Figure 4.22 shows how intermediate filaments create a supportive scaffolding inside the cell.
intermediate filaments,create,supportive scaffolding,Figure 4.22 shows how intermediate filaments create a supportive scaffolding inside the cell.
supportive scaffolding,is inside,the cell,Figure 4.22 shows how intermediate filaments create a supportive scaffolding inside the cell.
intermediate filaments,are,cytoskeletal elements,The intermediate filaments are the most diverse group of cytoskeletal elements.
you,familiar with,keratin,"You are probably most familiar with keratin, the fibrous protein that strengthens your hair, nails, and the skin's epidermis."
keratin,strengthens,hair,"You are probably most familiar with keratin, the fibrous protein that strengthens your hair, nails, and the skin's epidermis."
keratin,strengthens,nails,"You are probably most familiar with keratin, the fibrous protein that strengthens your hair, nails, and the skin's epidermis."
keratin,strengthens,skin's epidermis,"You are probably most familiar with keratin, the fibrous protein that strengthens your hair, nails, and the skin's epidermis."
microtubules,are small,hollow tubes,"As their name implies, microtubules are small hollow tubes."
α-tubulin,comprises walls of,microtubule,"Polymerized dimers of α-tubulin and β-tubulin, two globular proteins, comprise the microtubule's walls (Figure 4.25)."
β-tubulin,comprises walls of,microtubule,"Polymerized dimers of α-tubulin and β-tubulin, two globular proteins, comprise the microtubule's walls (Figure 4.25)."
microtubule,has walls composed of,polymerized dimers of α-tubulin and β-tubulin,"Polymerized dimers of α-tubulin and β-tubulin, two globular proteins, comprise the microtubule's walls (Figure 4.25)."
microtubule,is shown in,Figure 4.25,"Polymerized dimers of α-tubulin and β-tubulin, two globular proteins, comprise the microtubule's walls (Figure 4.25)."
microtubules,are components of,cytoskeletons,"With a diameter of about 25 nm, microtubules are cytoskeletons' widest components."
cell,resist compression,NA,"They help the cell resist compression, provide a track along which vesicles move through the cell, and pull replicated chromosomes to opposite ends of a dividing cell."
vesicles,move through,cell,"They help the cell resist compression, provide a track along which vesicles move through the cell, and pull replicated chromosomes to opposite ends of a dividing cell."
chromosomes,pulled to opposite ends of,dividing cell,"They help the cell resist compression, provide a track along which vesicles move through the cell, and pull replicated chromosomes to opposite ends of a dividing cell."
microfilaments,disassemble quickly,reform quickly,"Like microfilaments, microtubules can disassemble and reform quickly."
microtubules,disassemble quickly,reform quickly,"Like microfilaments, microtubules can disassemble and reform quickly."
Microtubules,are,hollow,Microtubules are hollow.
walls,consist of,13 polymerized dimers of α-tubulin and β-tubulin,Their walls consist of 13 polymerized dimers of α-tubulin and β-tubulin (right image).
α-tubulin,is a component of,walls,Their walls consist of 13 polymerized dimers of α-tubulin and β-tubulin (right image).
β-tubulin,is a component of,walls,Their walls consist of 13 polymerized dimers of α-tubulin and β-tubulin (right image).
tube,has molecular structure,molecular structure,The left image shows the tube's molecular structure.
molecular structure,is composed of,atom,The left image shows the tube's molecular structure.
microtubules,are structural elements of,flagella,"Microtubules are also the structural elements of flagella, cilia, and centrioles (the latter are the centrosome's two perpendicular bodies)."
microtubules,are structural elements of,cilia,"Microtubules are also the structural elements of flagella, cilia, and centrioles (the latter are the centrosome's two perpendicular bodies)."
microtubules,are structural elements of,centrioles,"Microtubules are also the structural elements of flagella, cilia, and centrioles (the latter are the centrosome's two perpendicular bodies)."
centrioles,are perpendicular bodies of,centrosome,"Microtubules are also the structural elements of flagella, cilia, and centrioles (the latter are the centrosome's two perpendicular bodies)."
centrosome,is the,microtubule-organizing center,"In animal cells, the centrosome is the microtubule-organizing center."
centrosome,is in,animal cells,"In animal cells, the centrosome is the microtubule-organizing center."
eukaryotic cells,have,flagella,"In eukaryotic cells, flagella and cilia are quite different structurally from their counterparts in prokaryotes, as we discuss below."
eukaryotic cells,have,cilia,"In eukaryotic cells, flagella and cilia are quite different structurally from their counterparts in prokaryotes, as we discuss below."
flagella,different structurally from,their counterparts in prokaryotes,"In eukaryotic cells, flagella and cilia are quite different structurally from their counterparts in prokaryotes, as we discuss below."
cilia,different structurally from,their counterparts in prokaryotes,"In eukaryotic cells, flagella and cilia are quite different structurally from their counterparts in prokaryotes, as we discuss below."
flagella,extend from,plasma membrane,"The flagella (singular = flagellum) are long, hair-like structures that extend from the plasma membrane and enable an entire cell to move (for example, sperm, Euglena, and some prokaryotes)."
flagella,enable movement of,entire cell,"The flagella (singular = flagellum) are long, hair-like structures that extend from the plasma membrane and enable an entire cell to move (for example, sperm, Euglena, and some prokaryotes)."
sperm,move by means of,flagella,"The flagella (singular = flagellum) are long, hair-like structures that extend from the plasma membrane and enable an entire cell to move (for example, sperm, Euglena, and some prokaryotes)."
Euglena,move by means of,flagella,"The flagella (singular = flagellum) are long, hair-like structures that extend from the plasma membrane and enable an entire cell to move (for example, sperm, Euglena, and some prokaryotes)."
prokaryotes,move by means of,flagella,"The flagella (singular = flagellum) are long, hair-like structures that extend from the plasma membrane and enable an entire cell to move (for example, sperm, Euglena, and some prokaryotes)."
cell,has flagellum,one flagellum,"When present, the cell has just one flagellum or a few flagella."
cell,has flagellum,few flagella,"When present, the cell has just one flagellum or a few flagella."
cilium,is present in,plasma membrane,"However, when cilia (singular = cilium) are present, many of them extend along the plasma membrane's entire surface."
plasma membrane,has surface,entire surface,"However, when cilia (singular = cilium) are present, many of them extend along the plasma membrane's entire surface."
cilia,move,cells,"They are short, hair-like structures that move entire cells (such as paramecia) or substances along the cell's outer surface (for example, the cilia of cells lining the Fallopian tubes that move the ovum toward the uterus, or cilia lining the cells of the respiratory tract that trap particulate matter and move it toward your nostrils.)"
cilia,move,substances,"They are short, hair-like structures that move entire cells (such as paramecia) or substances along the cell's outer surface (for example, the cilia of cells lining the Fallopian tubes that move the ovum toward the uterus, or cilia lining the cells of the respiratory tract that trap particulate matter and move it toward your nostrils.)"
cilia,line,Fallopian tubes,"They are short, hair-like structures that move entire cells (such as paramecia) or substances along the cell's outer surface (for example, the cilia of cells lining the Fallopian tubes that move the ovum toward the uterus, or cilia lining the cells of the respiratory tract that trap particulate matter and move it toward your nostrils.)"
Fallopian tubes,move,ovum,"They are short, hair-like structures that move entire cells (such as paramecia) or substances along the cell's outer surface (for example, the cilia of cells lining the Fallopian tubes that move the ovum toward the uterus, or cilia lining the cells of the respiratory tract that trap particulate matter and move it toward your nostrils.)"
ovum,move,uterus,"They are short, hair-like structures that move entire cells (such as paramecia) or substances along the cell's outer surface (for example, the cilia of cells lining the Fallopian tubes that move the ovum toward the uterus, or cilia lining the cells of the respiratory tract that trap particulate matter and move it toward your nostrils.)"
cilia,line,cells,"They are short, hair-like structures that move entire cells (such as paramecia) or substances along the cell's outer surface (for example, the cilia of cells lining the Fallopian tubes that move the ovum toward the uterus, or cilia lining the cells of the respiratory tract that trap particulate matter and move it toward your nostrils.)"
cells,trap,particulate matter,"They are short, hair-like structures that move entire cells (such as paramecia) or substances along the cell's outer surface (for example, the cilia of cells lining the Fallopian tubes that move the ovum toward the uterus, or cilia lining the cells of the respiratory tract that trap particulate matter and move it toward your nostrils.)"
particulate matter,move,nostrils,"They are short, hair-like structures that move entire cells (such as paramecia) or substances along the cell's outer surface (for example, the cilia of cells lining the Fallopian tubes that move the ovum toward the uterus, or cilia lining the cells of the respiratory tract that trap particulate matter and move it toward your nostrils.)"
flagella,has structure,9 + 2 array,"Despite their differences in length and number, flagella and cilia share a common structural arrangement of microtubules called a ""9 + 2 array."""
cilia,has structure,9 + 2 array,"Despite their differences in length and number, flagella and cilia share a common structural arrangement of microtubules called a ""9 + 2 array."""
9 + 2 array,is arrangement of,microtubules,"Despite their differences in length and number, flagella and cilia share a common structural arrangement of microtubules called a ""9 + 2 array."""
flagellum,is made of,a ring of nine microtubule doublets,"This is an appropriate name because a single flagellum or cilium is made of a ring of nine microtubule doublets, surrounding a single microtubule doublet in the center (Figure 4.26)."
flagellum,is made of,a single microtubule doublet in the center,"This is an appropriate name because a single flagellum or cilium is made of a ring of nine microtubule doublets, surrounding a single microtubule doublet in the center (Figure 4.26)."
cilium,is made of,a ring of nine microtubule doublets,"This is an appropriate name because a single flagellum or cilium is made of a ring of nine microtubule doublets, surrounding a single microtubule doublet in the center (Figure 4.26)."
cilium,is made of,a single microtubule doublet in the center,"This is an appropriate name because a single flagellum or cilium is made of a ring of nine microtubule doublets, surrounding a single microtubule doublet in the center (Figure 4.26)."
a ring of nine microtubule doublets,surrounds,a single microtubule doublet in the center,"This is an appropriate name because a single flagellum or cilium is made of a ring of nine microtubule doublets, surrounding a single microtubule doublet in the center (Figure 4.26)."
Figure 4.26,depicts,the structure of a flagellum or cilium,"This is an appropriate name because a single flagellum or cilium is made of a ring of nine microtubule doublets, surrounding a single microtubule doublet in the center (Figure 4.26)."
transmission electron micrograph,depicts,flagella,This transmission electron micrograph of two flagella shows the microtubules' 9 + 2 array: nine microtubule doublets surround a single microtubule doublet.
flagella,contains,microtubules,This transmission electron micrograph of two flagella shows the microtubules' 9 + 2 array: nine microtubule doublets surround a single microtubule doublet.
microtubules,have,9 + 2 array,This transmission electron micrograph of two flagella shows the microtubules' 9 + 2 array: nine microtubule doublets surround a single microtubule doublet.
9 + 2 array,composed of,nine microtubule doublets and a single microtubule doublet,This transmission electron micrograph of two flagella shows the microtubules' 9 + 2 array: nine microtubule doublets surround a single microtubule doublet.
prokaryotic,has component,cell components,You have now completed a broad survey of prokaryotic and eukaryotic cell components.
eukaryotic,has component,cell components,You have now completed a broad survey of prokaryotic and eukaryotic cell components.
prokaryotic,has cellular components,Table 4.1,"For a summary of cellular components in prokaryotic and eukaryotic cells, see Table 4.1."
eukaryotic,has cellular components,Table 4.1,"For a summary of cellular components in prokaryotic and eukaryotic cells, see Table 4.1."
