keywords,sentence
"['Cardiologists', 'heart diseases', 'heart failure']","Cardiologists (cardi- = ""heart""; -ologist = ""one who studies"") are doctors who specialize in treating heart diseases, including heart failure."
"['Cardiologists', 'heart failure', 'physical examination', 'electrocardiogram', 'ECG', ""heart's electrical activity"", 'chest X-ray']","Cardiologists can diagnose heart failure via a physical examination, results from an electrocardiogram (ECG, a test that measures the heart's electrical activity), a chest X-ray to see whether the heart is enlarged, and other tests."
"['cardiologist', 'heart failure']","If the cardiologist diagnoses heart failure, he or she will typically prescribe appropriate medications and recommend a reduced table salt intake and a supervised exercise program."
"['ER', 'vesicles']","We have already mentioned that vesicles can bud from the ER and transport their contents elsewhere, but where do the vesicles go?"
"['lipids', 'proteins', 'transport vesicles']","Before reaching their final destination, the lipids or proteins within the transport vesicles still need sorting, packaging, and tagging so that they end up in the right place."
"['Golgi apparatus', 'Golgi body', 'Figure 4.20']","Sorting, tagging, packaging, and distributing lipids and proteins takes place in the Golgi apparatus (also called the Golgi body), a series of flattened membranes (Figure 4.20)."
"['Golgi apparatus', 'white blood cell']","The Golgi apparatus in this white blood cell is visible as a stack of semicircular, flattened rings in the lower portion of the image."
"['vesicles', 'Golgi apparatus']",You can see several vesicles near the Golgi apparatus.
"['Golgi apparatus', 'cis face']",We call the Golgi apparatus' the cis face.
['trans face'],The opposite side is the trans face.
"['transport vesicles', 'ER', 'cis face', 'Golgi apparatus', 'lumen']","The transport vesicles that formed from the ER travel to the cis face, fuse with it, and empty their contents into the Golgi apparatus' lumen."
"['Golgi', 'proteins', 'lipids']","As the proteins and lipids travel through the Golgi, they undergo further modifications that allow them to be sorted."
['sugar molecule chains'],The most frequent modification is adding short sugar molecule chains.
"['proteins', 'lipids', 'phosphate groups']",These newly modified proteins and lipids then tag with phosphate groups or other small molecules in order to travel to their proper destinations.
"['proteins', 'secretory vesicles', ""Golgi's trans face""]","Finally, the modified and tagged proteins are packaged into secretory vesicles that bud from the Golgi's trans face."
"['vesicles', 'cell parts', 'plasma membrane']","While some of these vesicles deposit their contents into other cell parts where they will be used, other secretory vesicles fuse with the plasma membrane and release their contents outside the cell."
"['Golgi', 'salivary gland cells', 'digestive enzymes', 'immune system cells', 'antibodies']","In another example of form following function, cells that engage in a great deal of secretory activity (such as salivary gland cells that secrete digestive enzymes or immune system cells that secrete antibodies) have an abundance of Golgi."
"['Golgi apparatus', 'polysaccharides', 'cell wall', 'plant cells']","In plant cells, the Golgi apparatus has the additional role of synthesizing polysaccharides, some of which are incorporated into the cell wall and some of which other cell parts use."
"['diseases', 'genetic mutations', 'proteins']",Many diseases arise from genetic mutations that prevent synthesizing critical proteins.
"['Lowe disease', 'oculocerebrorenal syndrome', 'eyes', 'brain', 'kidneys']","One such disease is Lowe disease (or oculocerebrorenal syndrome, because it affects the eyes, brain, and kidneys)."
"['Lowe disease', 'enzyme', 'Golgi apparatus']","In Lowe disease, there is a deficiency in an enzyme localized to the Golgi apparatus."
"['Lowe disease', 'cataracts', 'kidney disease', 'mental abilities']","Children with Lowe disease are born with cataracts, typically develop kidney disease after the first year of life, and may have impaired mental abilities."
"['X chromosome', 'Lowe disease', 'mutation']",A mutation on the X chromosome causes Lowe disease.
"['X chromosome', 'human', 'sex chromosomes', ""person's sex""]","The X chromosome is one of the two human sex chromosomes, as these chromosomes determine a person's sex."
"['Females', 'X chromosomes', 'males', 'X chromosome', 'Y chromosome']",Females possess two X chromosomes while males possess one X and one Y chromosome.
"['females', 'genes', 'X chromosomes']","In females, the genes on only one of the two X chromosomes are expressed."
"['Lowe disease', 'X chromosomes']",Females who carry the Lowe disease gene on one of their X chromosomes are carriers and do not show symptoms of the disease.
"['males', 'X chromosome']","However, males only have one X chromosome and the genes on this chromosome are always expressed."
"['Lowe disease', 'X chromosome', 'males']","Therefore, males will always have Lowe disease if their X chromosome carries the Lowe disease gene."
"['geneticists', 'mutated gene', 'mutation locations', 'genetic diseases']","Geneticists have identified the mutated gene's location, as well as many other mutation locations that cause genetic diseases."
"['prenatal testing', 'woman', 'fetus', 'genetic diseases']","Through prenatal testing, a woman can find out if the fetus she is carrying may be afflicted with one of several genetic diseases."
"['Geneticists', 'prenatal genetic test results', 'pregnant women']",Geneticists analyze prenatal genetic test results and may counsel pregnant women on available options.
"['genetic research', 'new drugs', 'foods', 'DNA analyses', 'forensic investigations']","They may also conduct genetic research that leads to new drugs or foods, or perform DNA analyses for forensic investigations."
"['lysosomes', 'endomembrane system']","In addition to their role as the digestive component and organelle-recycling facility of animal cells, lysosomes are part of the endomembrane system."
"['Lysosomes', 'hydrolytic enzymes', 'pathogens']",Lysosomes also use their hydrolytic enzymes to destroy pathogens (disease-causing organisms) that might enter the cell.
"['macrophages', 'white blood cells', 'immune system']","A good example of this occurs in macrophages, a group of white blood cells which are part of your body's immune system."
"['phagocytosis', 'endocytosis', 'macrophage']","In a process that scientists call phagocytosis or endocytosis, a section of the macrophage's plasma membrane invaginates (folds in) and engulfs a pathogen."
"['plasma membrane', 'vesicle', 'pathogen']","The invaginated section, with the pathogen inside, then pinches itself off from the plasma membrane and becomes a vesicle."
"['vesicle', 'lysosome']",The vesicle fuses with a lysosome.
"['lysosome', 'hydrolytic enzymes', 'pathogen', 'Figure 4.21']",The lysosome's hydrolytic enzymes then destroy the pathogen (Figure 4.21).
"['macrophage', 'lysosomes', 'bacterium']",A macrophage has engulfed (phagocytized) a potentially pathogenic bacterium and then fuses with lysosomes within the cell to destroy the pathogen.
"['organelles', 'cell']",Other organelles are present in the cell but for simplicity we do not show them.
