keywords,sentence
"['Mitochondria', 'ribosomes', 'DNA', 'double membrane', 'Figure 4.14']","Mitochondria are oval-shaped, double membrane organelles (Figure 4.14) that have their own ribosomes and DNA."
"['phospholipid bilayer', 'proteins']",Each membrane is a phospholipid bilayer embedded with proteins.
"['cristae', 'inner layer']",The inner layer has folds called cristae.
['mitochondrial matrix'],We call the area surrounded by the folds the mitochondrial matrix.
"['cristae', 'matrix', 'cellular respiration']",The cristae and the matrix have different roles in cellular respiration.
"['electron micrograph', 'mitochondrion', 'electron microscope']",This electron micrograph shows a mitochondrion through an electron microscope.
"['organelle', 'outer membrane', 'inner membrane']",This organelle has an outer membrane and an inner membrane.
"['cristae', 'inner membrane']","The inner membrane contains folds, called cristae, which increase its surface area."
"['intermembrane space', 'inner membrane', 'mitochondrial matrix']","We call the space between the two membranes the intermembrane space, and the space inside the inner membrane the mitochondrial matrix."
"['ATP synthesis', 'inner membrane']",ATP synthesis takes place on the inner membrane.
['Peroxisomes'],"Peroxisomes are small, round organelles enclosed by single membranes."
"['oxidation reactions', 'fatty acids', 'amino acids']",They carry out oxidation reactions that break down fatty acids and amino acids.
"['poisons', 'body']",They also detoxify many poisons that may enter the body.
"['hydrogen peroxide', 'H2O2', 'peroxisomes', 'oxygen', 'water', 'enzymes']","Many of these oxidation reactions release hydrogen peroxide, H2O2, which would be damaging to cells; however, when these reactions are confined to peroxisomes, enzymes safely break down the H2O2 into oxygen and water.)"
"['liver cells', 'peroxisomes', 'alcohol']","For example, peroxisomes in liver cells detoxify alcohol."
"['Glyoxysomes', 'peroxisomes']","Glyoxysomes, which are specialized peroxisomes in plants, are responsible for converting stored fats into sugars."
"['Plant cells', 'peroxisomes', 'metabolism', 'pathogene defense', 'stress response']","Plant cells contain many different types of peroxisomes that play a role in metabolism, pathogene defense, and stress response, to mention a few."
"['vesicles', 'vacuoles']",Vesicles and vacuoles are membrane-bound sacs that function in storage and transport.
"['vacuoles', 'vesicles']","Other than the fact that vacuoles are somewhat larger than vesicles, there is a very subtle distinction between them."
"['Vesicle', 'plasma membrane']",Vesicle membranes can fuse with either the plasma membrane or other membrane systems within the cell.
"['enzymes', 'plant vacuoles', 'macromolecules']","Additionally, some agents such as enzymes within plant vacuoles break down macromolecules."
['vacuole'],The vacuole's membrane does not fuse with the membranes of other cellular components.
"['eukaryotic cell', 'plasma membrane', 'cytoplasm', 'nucleus', 'ribosomes', 'mitochondria', 'peroxisomes', 'vacuoles', 'animal cells', 'plant cells']","At this point, you know that each eukaryotic cell has a plasma membrane, cytoplasm, a nucleus, ribosomes, mitochondria, peroxisomes, and in some, vacuoles, but there are some striking differences between animal and plant cells."
"['animal cells', 'plant cells', 'microtubule organizing centers', 'MTOCs', 'centrioles', 'centrosome']","While both animal and plant cells have microtubule organizing centers (MTOCs), animal cells also have centrioles associated with the MTOC: a complex we call the centrosome."
"['centrosome', 'lysosomes', 'animal cells', 'plant cells']","Animal cells each have a centrosome and lysosomes; whereas, most plant cells do not."
"['Plant cells', 'cell wall', 'chloroplasts', 'plastids', 'central vacuole', 'animal cells']","Plant cells have a cell wall, chloroplasts and other specialized plastids, and a large central vacuole; whereas, animal cells do not."
"['centrosome', 'microtubule-organizing center', 'animal cells']",The centrosome is a microtubule-organizing center found near the nuclei of animal cells.
"['centrioles', 'Figure 4.15']","It contains a pair of centrioles, two structures that lie perpendicular to each other (Figure 4.15)."
"['centriole', 'cylinder', 'triplets', 'microtubules']",Each centriole is a cylinder of nine triplets of microtubules.
"['centrosome', 'centrioles']",The centrosome consists of two centrioles that lie at right angles to each other.
"['centriole', 'cylinder', 'triplets', 'microtubules']",Each centriole is a cylinder comprised of nine triplets of microtubules.
"['Nontubulin proteins', 'microtubule triplets']",Nontubulin proteins (indicated by the green lines) hold the microtubule triplets together.
"['centrosome', 'microtubules', 'centrioles']","The centrosome (the organelle where all microtubules originate) replicates itself before a cell divides, and the centrioles appear to have some role in pulling the duplicated chromosomes to opposite ends of the dividing cell."
"['centriole', 'cell division', 'centrosome', 'plant cells']","However, the centriole's exact function in cell division isn't clear, because cells that have had the centrosome removed can still divide, and plant cells, which lack centrosomes, are capable of cell division."
"['animal cells', 'organelles', 'plant cells', 'lysosomes']",Animal cells have another set of organelles that most plant cells do not: lysosomes.
['lysosomes'],"The lysosomes are the cell's ""garbage disposal."""
"['plant cells', 'vacuoles']","In plant cells, the digestive processes take place in vacuoles."
"['lysosomes', 'proteins', 'polysaccharides', 'lipids', 'nucleic acids', 'organelles']","Enzymes within the lysosomes aid in breaking down proteins, polysaccharides, lipids, nucleic acids, and even worn-out organelles."
"['enzymes', 'pH', 'cytoplasm']",These enzymes are active at a much lower pH than the cytoplasm's.
"['lysosomes', 'pH', 'cytoplasm']","Therefore, the pH within lysosomes is more acidic than the cytoplasm's pH."
"['cytoplasm', 'pH', 'eukaryotic cell', 'organelles']","Many reactions that take place in the cytoplasm could not occur at a low pH, so again, the advantage of compartmentalizing the eukaryotic cell into organelles is apparent."
"['Figure 4.8', 'plant cell diagram', 'plasma membrane']","If you examine Figure 4.8, the plant cell diagram, you will see a structure external to the plasma membrane."
"['cell wall', 'cell']","This is the cell wall, a rigid covering that protects the cell, provides structural support, and gives shape to the cell."
"['Fungal', 'protistan']",Fungal and some protistan cells also have cell walls.
"['peptidoglycan', 'cellulose', 'glucose', 'plant', 'protists', 'Figure 4.16']","While the prokaryotic cell walls' chief component is peptidoglycan, the major organic molecule in the plant (and some protists') cell wall is cellulose (Figure 4.16), a polysaccharide comprised of glucose units."
['celery'],"Have you ever noticed that when you bite into a raw vegetable, like celery, it crunches?"
"[""celery cells'""]",That's because you are tearing the celery cells' rigid cell walls with your teeth.
"['Cellulose', 'β-glucose']",Cellulose is a long chain of β-glucose molecules connected by a 1-4 linkage.
['glucose units'],The dashed lines at each end of the figure indicate a series of many more glucose units.
['cellulose'],The size of the page makes it impossible to portray an entire cellulose molecule.
"['mitochondria', 'chloroplasts', 'DNA', 'ribosomes']","Like the mitochondria, chloroplasts have their own DNA and ribosomes, but chloroplasts have an entirely different function."
"['Chloroplasts', 'plant', 'cell', 'organelles', 'photosynthesis']",Chloroplasts are plant cell organelles that carry out photosynthesis.
"['Photosynthesis', 'carbon dioxide', 'water', 'light energy', 'glucose', 'oxygen']","Photosynthesis is the series of reactions that use carbon dioxide, water, and light energy to make glucose and oxygen."
"['Plants', 'autotrophs', 'animals', 'heterotrophs']","Plants (autotrophs) are able to make their own food, like sugars, while animals (heterotrophs) must ingest their food."
"['chloroplasts', 'mitochondria', 'thylakoids', 'inner membrane', 'outer membrane', 'fluid-filled membrane sacs', 'Figure 4.17']","Like mitochondria, chloroplasts have outer and inner membranes, but within the space enclosed by a chloroplast's inner membrane is a set of interconnected and stacked fluid-filled membrane sacs we call thylakoids (Figure 4.17)."
"['thylakoid stack', 'granum']",Each thylakoid stack is a granum (plural = grana).
"['stroma', 'inner membrane', 'grana']",We call the fluid enclosed by the inner membrane that surrounds the grana the stroma.
"['chloroplast', 'outer membrane', 'inner membrane', 'thylakoids', 'grana']","The chloroplast has an outer membrane, an inner membrane, and membrane structures - thylakoids that are stacked into grana."
"['thylakoid membranes', 'thylakoid space']",We call the space inside the thylakoid membranes the thylakoid space.
"['thylakoid membranes', 'stroma']","The light harvesting reactions take place in the thylakoid membranes, and sugar synthesis takes place in the fluid inside the inner membrane, which we call the stroma."
"['Chloroplasts', 'genome', 'circular chromosome']","Chloroplasts also have their own genome, which is contained on a single circular chromosome."
"['chloroplasts', 'chlorophyll', 'photosynthesis']","The chloroplasts contain a green pigment, chlorophyll, which captures the light energy that drives the reactions of photosynthesis."
"['photosynthetic protists', 'plant cells', 'chloroplasts']","Like plant cells, photosynthetic protists also have chloroplasts."
"['bacteria', 'photosynthesis', 'chlorophyll', 'organelle']","Some bacteria perform photosynthesis, but their chlorophyll is not relegated to an organelle."
"['mitochondria', 'chloroplasts', 'DNA', 'ribosomes']",We have mentioned that both mitochondria and chloroplasts contain DNA and ribosomes.
['wondered'],Have you wondered why?
['endosymbiosis'],Strong evidence points to endosymbiosis as the explanation.
['Symbiosis'],Symbiosis is a relationship in which organisms from two separate species depend on each other for their survival.
['Endosymbiosis'],"Endosymbiosis (endo- = ""within"") is a mutually beneficial relationship in which one organism lives inside the other."
['Endosymbiotic relationships'],Endosymbiotic relationships abound in nature.
['vitamin K'],We have already mentioned that microbes that produce vitamin K live inside the human gut.
"['vitamin K', 'microbes', 'large intestine']","This relationship is beneficial for us because we are unable to synthesize vitamin K. It is also beneficial for the microbes because they are protected from other organisms and from drying out, and they receive abundant food from the environment of the large intestine."
"['bacteria', 'mitochondria', 'chloroplasts']","Scientists have long noticed that bacteria, mitochondria, and chloroplasts are similar in size."
"['bacteria', 'DNA', 'ribosomes', 'mitochondria', 'chloroplasts']","We also know that bacteria have DNA and ribosomes, just like mitochondria and chloroplasts."
"['Scientists', 'host cells', 'bacteria', 'endosymbiotic relationship', 'aerobic', 'autotrophic bacteria', 'cyanobacteria']",Scientists believe that host cells and bacteria formed an endosymbiotic relationship when the host cells ingested both aerobic and autotrophic bacteria (cyanobacteria) but did not destroy them.
"['evolution', 'bacteria', 'mitochondria', 'chloroplasts']","Through many millions of years of evolution, these ingested bacteria became more specialized in their functions, with the aerobic bacteria becoming mitochondria and the autotrophic bacteria becoming chloroplasts."
"['vacuoles', 'plant cells']","Previously, we mentioned vacuoles as essential components of plant cells."
"['Figure 4.8b', 'plant cells', 'central vacuole']","If you look at Figure 4.8b, you will see that plant cells each have a large central vacuole that occupies most of the cell's area."
"['central vacuole', 'cell', 'water', 'environmental conditions']",The central vacuole plays a key role in regulating the cell's concentration of water in changing environmental conditions.
['plant'],"Have you ever noticed that if you forget to water a plant for a few days, it wilts?"
"['water', 'soil', 'plant', 'central vacuoles', 'cytoplasm']","That's because as the water concentration in the soil becomes lower than the water concentration in the plant, water moves out of the central vacuoles and cytoplasm."
"['central vacuole', 'cell wall']","As the central vacuole shrinks, it leaves the cell wall unsupported."
"['plant', 'cell walls']",This loss of support to the plant's cell walls results in the wilted appearance.
['central vacuole'],The central vacuole also supports the cell's expansion.
"['central vacuole', 'water', 'cell', 'cytoplasm']","When the central vacuole holds more water, the cell becomes larger without having to invest considerable energy in synthesizing new cytoplasm."
