subject,relation,object,sentence
transport vesicles,travel to,cis face,"The transport vesicles that formed from the ER travel to the cis face, fuse with it, and empty their contents into the Golgi apparatus' lumen."
transport vesicles,fuse with,cis face,"The transport vesicles that formed from the ER travel to the cis face, fuse with it, and empty their contents into the Golgi apparatus' lumen."
transport vesicles,empty contents into,Golgi apparatus' lumen,"The transport vesicles that formed from the ER travel to the cis face, fuse with it, and empty their contents into the Golgi apparatus' lumen."
proteins,undergo modifications in,Golgi,"As the proteins and lipids travel through the Golgi, they undergo further modifications that allow them to be sorted."
lipids,undergo modifications in,Golgi,"As the proteins and lipids travel through the Golgi, they undergo further modifications that allow them to be sorted."
proteins,are sorted in,Golgi,"As the proteins and lipids travel through the Golgi, they undergo further modifications that allow them to be sorted."
lipids,are sorted in,Golgi,"As the proteins and lipids travel through the Golgi, they undergo further modifications that allow them to be sorted."
modification,is frequent in,sugar molecule chains,The most frequent modification is adding short sugar molecule chains.
sugar molecule chains,are added to,modification,The most frequent modification is adding short sugar molecule chains.
proteins,are modified to tag with phosphate groups,travel to their proper destinations,These newly modified proteins and lipids then tag with phosphate groups or other small molecules in order to travel to their proper destinations.
lipids,are modified to tag with other small molecules,travel to their proper destinations,These newly modified proteins and lipids then tag with phosphate groups or other small molecules in order to travel to their proper destinations.
proteins,are packaged into,secretory vesicles,"Finally, the modified and tagged proteins are packaged into secretory vesicles that bud from the Golgi's trans face."
secretory vesicles,bud from,Golgi's trans face,"Finally, the modified and tagged proteins are packaged into secretory vesicles that bud from the Golgi's trans face."
vesicles,deposit contents into,other cell parts,"While some of these vesicles deposit their contents into other cell parts where they will be used, other secretory vesicles fuse with the plasma membrane and release their contents outside the cell."
vesicles,fuse with,plasma membrane,"While some of these vesicles deposit their contents into other cell parts where they will be used, other secretory vesicles fuse with the plasma membrane and release their contents outside the cell."
vesicles,release contents outside,cell,"While some of these vesicles deposit their contents into other cell parts where they will be used, other secretory vesicles fuse with the plasma membrane and release their contents outside the cell."
cells,have abundance of,Golgi,"In another example of form following function, cells that engage in a great deal of secretory activity (such as salivary gland cells that secrete digestive enzymes or immune system cells that secrete antibodies) have an abundance of Golgi."
salivary gland cells,secrete,digestive enzymes,"In another example of form following function, cells that engage in a great deal of secretory activity (such as salivary gland cells that secrete digestive enzymes or immune system cells that secrete antibodies) have an abundance of Golgi."
immune system cells,secrete,antibodies,"In another example of form following function, cells that engage in a great deal of secretory activity (such as salivary gland cells that secrete digestive enzymes or immune system cells that secrete antibodies) have an abundance of Golgi."
Golgi apparatus,has role in synthesizing,polysaccharides,"In plant cells, the Golgi apparatus has the additional role of synthesizing polysaccharides, some of which are incorporated into the cell wall and some of which other cell parts use."
polysaccharides,are incorporated into,cell wall,"In plant cells, the Golgi apparatus has the additional role of synthesizing polysaccharides, some of which are incorporated into the cell wall and some of which other cell parts use."
polysaccharides,are used by,other cell parts,"In plant cells, the Golgi apparatus has the additional role of synthesizing polysaccharides, some of which are incorporated into the cell wall and some of which other cell parts use."
Golgi apparatus,is present in,plant cells,"In plant cells, the Golgi apparatus has the additional role of synthesizing polysaccharides, some of which are incorporated into the cell wall and some of which other cell parts use."
diseases,arise from,genetic mutations,Many diseases arise from genetic mutations that prevent synthesizing critical proteins.
genetic mutations,prevent synthesizing,critical proteins,Many diseases arise from genetic mutations that prevent synthesizing critical proteins.
Lowe disease,is also known as,oculocerebrorenal syndrome,"One such disease is Lowe disease (or oculocerebrorenal syndrome, because it affects the eyes, brain, and kidneys)."
Lowe disease,affects,eyes,"One such disease is Lowe disease (or oculocerebrorenal syndrome, because it affects the eyes, brain, and kidneys)."
Lowe disease,affects,brain,"One such disease is Lowe disease (or oculocerebrorenal syndrome, because it affects the eyes, brain, and kidneys)."
Lowe disease,affects,kidneys,"One such disease is Lowe disease (or oculocerebrorenal syndrome, because it affects the eyes, brain, and kidneys)."
Lowe disease,has deficiency in,enzyme,"In Lowe disease, there is a deficiency in an enzyme localized to the Golgi apparatus."
enzyme,is localized to,Golgi apparatus,"In Lowe disease, there is a deficiency in an enzyme localized to the Golgi apparatus."
Children with Lowe disease,are born with,cataracts,"Children with Lowe disease are born with cataracts, typically develop kidney disease after the first year of life, and may have impaired mental abilities."
Children with Lowe disease,typically develop,kidney disease after the first year of life,"Children with Lowe disease are born with cataracts, typically develop kidney disease after the first year of life, and may have impaired mental abilities."
Children with Lowe disease,may have,impaired mental abilities,"Children with Lowe disease are born with cataracts, typically develop kidney disease after the first year of life, and may have impaired mental abilities."
mutation,causes,Lowe disease,A mutation on the X chromosome causes Lowe disease.
Lowe disease,is caused by,mutation,A mutation on the X chromosome causes Lowe disease.
mutation,is located on,X chromosome,A mutation on the X chromosome causes Lowe disease.
X chromosome,has mutation causing,Lowe disease,A mutation on the X chromosome causes Lowe disease.
X chromosome,is one of,human sex chromosomes,"The X chromosome is one of the two human sex chromosomes, as these chromosomes determine a person's sex."
human sex chromosomes,determine,person's sex,"The X chromosome is one of the two human sex chromosomes, as these chromosomes determine a person's sex."
Females,possess,two X chromosomes,Females possess two X chromosomes while males possess one X and one Y chromosome.
males,possess,one X and one Y chromosome,Females possess two X chromosomes while males possess one X and one Y chromosome.
males,possess,X chromosome,Females possess two X chromosomes while males possess one X and one Y chromosome.
males,possess,Y chromosome,Females possess two X chromosomes while males possess one X and one Y chromosome.
females,have genes expressed on,one of the two X chromosomes,"In females, the genes on only one of the two X chromosomes are expressed."
X chromosomes,are expressed in,only one of the two X chromosomes,"In females, the genes on only one of the two X chromosomes are expressed."
Females,carry gene,Lowe disease gene,Females who carry the Lowe disease gene on one of their X chromosomes are carriers and do not show symptoms of the disease.
Females,have chromosome,X chromosomes,Females who carry the Lowe disease gene on one of their X chromosomes are carriers and do not show symptoms of the disease.
Lowe disease gene,on chromosome,X,Females who carry the Lowe disease gene on one of their X chromosomes are carriers and do not show symptoms of the disease.
carriers,do not show symptoms of,Lowe disease,Females who carry the Lowe disease gene on one of their X chromosomes are carriers and do not show symptoms of the disease.
males,have,one X chromosome,"However, males only have one X chromosome and the genes on this chromosome are always expressed."
genes,on,X chromosome,"However, males only have one X chromosome and the genes on this chromosome are always expressed."
males,have,Lowe disease,"Therefore, males will always have Lowe disease if their X chromosome carries the Lowe disease gene."
X chromosome,carries,Lowe disease gene,"Therefore, males will always have Lowe disease if their X chromosome carries the Lowe disease gene."
Geneticists,identify,mutated gene's location,"Geneticists have identified the mutated gene's location, as well as many other mutation locations that cause genetic diseases."
Geneticists,identify,mutation locations,"Geneticists have identified the mutated gene's location, as well as many other mutation locations that cause genetic diseases."
mutation locations,cause,genetic diseases,"Geneticists have identified the mutated gene's location, as well as many other mutation locations that cause genetic diseases."
woman,carrying,fetus,"Through prenatal testing, a woman can find out if the fetus she is carrying may be afflicted with one of several genetic diseases."
prenatal testing,can find out if,fetus may be afflicted with genetic diseases,"Through prenatal testing, a woman can find out if the fetus she is carrying may be afflicted with one of several genetic diseases."
Geneticists,analyze,prenatal genetic test results,Geneticists analyze prenatal genetic test results and may counsel pregnant women on available options.
Geneticists,counsel,pregnant women,Geneticists analyze prenatal genetic test results and may counsel pregnant women on available options.
prenatal genetic test results,relate to,pregnant women,Geneticists analyze prenatal genetic test results and may counsel pregnant women on available options.
They,conduct,genetic research,"They may also conduct genetic research that leads to new drugs or foods, or perform DNA analyses for forensic investigations."
genetic research,leads to,new drugs,"They may also conduct genetic research that leads to new drugs or foods, or perform DNA analyses for forensic investigations."
genetic research,leads to,foods,"They may also conduct genetic research that leads to new drugs or foods, or perform DNA analyses for forensic investigations."
They,perform,DNA analyses,"They may also conduct genetic research that leads to new drugs or foods, or perform DNA analyses for forensic investigations."
DNA analyses,are performed for,forensic investigations,"They may also conduct genetic research that leads to new drugs or foods, or perform DNA analyses for forensic investigations."
lysosomes,part of,endomembrane system,"In addition to their role as the digestive component and organelle-recycling facility of animal cells, lysosomes are part of the endomembrane system."
Lysosomes,use,hydrolytic enzymes,Lysosomes also use their hydrolytic enzymes to destroy pathogens (disease-causing organisms) that might enter the cell.
hydrolytic enzymes,destroy,pathogens,Lysosomes also use their hydrolytic enzymes to destroy pathogens (disease-causing organisms) that might enter the cell.
macrophages,are part of,immune system,"A good example of this occurs in macrophages, a group of white blood cells which are part of your body's immune system."
macrophages,are a group of,white blood cells,"A good example of this occurs in macrophages, a group of white blood cells which are part of your body's immune system."
white blood cells,are part of,immune system,"A good example of this occurs in macrophages, a group of white blood cells which are part of your body's immune system."
scientists,call,phagocytosis,"In a process that scientists call phagocytosis or endocytosis, a section of the macrophage's plasma membrane invaginates (folds in) and engulfs a pathogen."
process,call,phagocytosis,"In a process that scientists call phagocytosis or endocytosis, a section of the macrophage's plasma membrane invaginates (folds in) and engulfs a pathogen."
