subject,relation,object,sentence
membrane,surrounds,nucleus,"Because a membrane surrounds eukaryotic cell's nucleus, it has a ""true nucleus."""
nucleus,has true nucleus,true nucleus,"Because a membrane surrounds eukaryotic cell's nucleus, it has a ""true nucleus."""
organelle,means,little organ,"The word ""organelle"" means ""little organ,"" and, as we already mentioned, organelles have specialized cellular functions, just as your body's organs have specialized functions."
organelles,have,specialized cellular functions,"The word ""organelle"" means ""little organ,"" and, as we already mentioned, organelles have specialized cellular functions, just as your body's organs have specialized functions."
body's organs,have,specialized functions,"The word ""organelle"" means ""little organ,"" and, as we already mentioned, organelles have specialized cellular functions, just as your body's organs have specialized functions."
eukaryotic cells,have structure more complex than,prokaryotic cells,"At this point, it should be clear to you that eukaryotic cells have a more complex structure than prokaryotic cells."
Organelles,allow compartmentalization of functions in different areas of the cell,different functions,Organelles allow different functions to be compartmentalized in different areas of the cell.
cell,has component,plasma membrane,"Before turning to organelles, let's first examine two important components of the cell: the plasma membrane and the cytoplasm."
cell,has component,cytoplasm,"Before turning to organelles, let's first examine two important components of the cell: the plasma membrane and the cytoplasm."
cell,has component,organelles,"Before turning to organelles, let's first examine two important components of the cell: the plasma membrane and the cytoplasm."
animal cell,contains,organelles,These figures show the major organelles and other cell components of (a) a typical animal cell and (b) a typical eukaryotic plant cell.
eukaryotic plant cell,contains,organelles,These figures show the major organelles and other cell components of (a) a typical animal cell and (b) a typical eukaryotic plant cell.
plant cell,has cell wall,cell wall,"The plant cell has a cell wall, chloroplasts, plastids, and a central vacuole—structures not in animal cells."
plant cell,has chloroplasts,chloroplasts,"The plant cell has a cell wall, chloroplasts, plastids, and a central vacuole—structures not in animal cells."
plant cell,has plastids,plastids,"The plant cell has a cell wall, chloroplasts, plastids, and a central vacuole—structures not in animal cells."
plant cell,has central vacuole,central vacuole,"The plant cell has a cell wall, chloroplasts, plastids, and a central vacuole—structures not in animal cells."
plant cell,differs from,animal cells,"The plant cell has a cell wall, chloroplasts, plastids, and a central vacuole—structures not in animal cells."
cells,do not have,lysosomes,Most cells do not have lysosomes or centrosomes.
cells,do not have,centrosomes,Most cells do not have lysosomes or centrosomes.
nucleolus,function is carried out by,cellular organelles,"If the nucleolus were not able to carry out its function, what other cellular organelles would be affected?"
eukaryotic cells,have,plasma membrane,"Like prokaryotes, eukaryotic cells have a plasma membrane (Figure 4.9), a phospholipid bilayer with embedded proteins that separates the internal contents of the cell from its surrounding environment."
plasma membrane,is a,phospholipid bilayer,"Like prokaryotes, eukaryotic cells have a plasma membrane (Figure 4.9), a phospholipid bilayer with embedded proteins that separates the internal contents of the cell from its surrounding environment."
phospholipid bilayer,has,embedded proteins,"Like prokaryotes, eukaryotic cells have a plasma membrane (Figure 4.9), a phospholipid bilayer with embedded proteins that separates the internal contents of the cell from its surrounding environment."
embedded proteins,separate,internal contents of the cell from its surrounding environment,"Like prokaryotes, eukaryotic cells have a plasma membrane (Figure 4.9), a phospholipid bilayer with embedded proteins that separates the internal contents of the cell from its surrounding environment."
phospholipid,has,two fatty acid chains,A phospholipid is a lipid molecule with two fatty acid chains and a phosphate-containing group.
phospholipid,has,a phosphate-containing group,A phospholipid is a lipid molecule with two fatty acid chains and a phosphate-containing group.
phospholipid,is a type of,lipid molecule,A phospholipid is a lipid molecule with two fatty acid chains and a phosphate-containing group.
plasma membrane,controls passage of,organic molecules,"The plasma membrane controls the passage of organic molecules, ions, water, and oxygen into and out of the cell."
plasma membrane,controls passage of,ions,"The plasma membrane controls the passage of organic molecules, ions, water, and oxygen into and out of the cell."
plasma membrane,controls passage of,water,"The plasma membrane controls the passage of organic molecules, ions, water, and oxygen into and out of the cell."
plasma membrane,controls passage of,oxygen,"The plasma membrane controls the passage of organic molecules, ions, water, and oxygen into and out of the cell."
plasma membrane,controls passage into and out of,cell,"The plasma membrane controls the passage of organic molecules, ions, water, and oxygen into and out of the cell."
Wastes,leave the cell by passing through,plasma membrane,Wastes (such as carbon dioxide and ammonia) also leave the cell by passing through the plasma membrane.
carbon dioxide,leave the cell by passing through,plasma membrane,Wastes (such as carbon dioxide and ammonia) also leave the cell by passing through the plasma membrane.
ammonia,leave the cell by passing through,plasma membrane,Wastes (such as carbon dioxide and ammonia) also leave the cell by passing through the plasma membrane.
eukaryotic,has plasma membrane,phospholipid bilayer,The eukaryotic plasma membrane is a phospholipid bilayer with proteins and cholesterol embedded in it.
plasma membrane,is composed of,phospholipid bilayer,The eukaryotic plasma membrane is a phospholipid bilayer with proteins and cholesterol embedded in it.
plasma membrane,contains,proteins,The eukaryotic plasma membrane is a phospholipid bilayer with proteins and cholesterol embedded in it.
plasma membrane,contains,cholesterol,The eukaryotic plasma membrane is a phospholipid bilayer with proteins and cholesterol embedded in it.
Microvilli,increase surface area for,absorption,"Microvilli, as they appear on cells lining the small intestine, increase the surface area available for absorption."
cells lining small intestine,are associated with,Microvilli,"Microvilli, as they appear on cells lining the small intestine, increase the surface area available for absorption."
microvilli,location,plasma membrane,These microvilli are only on the area of the plasma membrane that faces the cavity from which substances will be absorbed.
plasma membrane,faces,cavity,These microvilli are only on the area of the plasma membrane that faces the cavity from which substances will be absorbed.
cavity,absorbs,substances,These microvilli are only on the area of the plasma membrane that faces the cavity from which substances will be absorbed.
New York,is a city in,United States,.
New York,has five boroughs including,Queens,.
New York,has five boroughs including,Manhattan,.
New York,has five boroughs including,Brooklyn,.
New York,has five boroughs including,Bronx,.
New York,has five boroughs including,Staten Island,.
John F. Kennedy International Airport,is located in,Queens,.
John F. Kennedy International Airport,is also known as,JFK,.
Queens,is a borough of,New York,.
Manhattan,is a borough of,New York,.
Long Island,is an island in,New York,.
Brooklyn,is a borough of,New York,.
Bronx,is a borough of,New York,.
Staten Island,is a borough of,New York,.
LaGuardia Airport,is located in,Queens,.
LaGuardia Airport,is also known as,LGA,.
organelles,are comprised of,cytosol,"It is comprised of organelles suspended in the gel-like cytosol, the cytoskeleton, and various chemicals (Figure 4.8)."
organelles,are suspended in,cytosol,"It is comprised of organelles suspended in the gel-like cytosol, the cytoskeleton, and various chemicals (Figure 4.8)."
organelles,are suspended in,cytoskeleton,"It is comprised of organelles suspended in the gel-like cytosol, the cytoskeleton, and various chemicals (Figure 4.8)."
organelles,contain,chemicals,"It is comprised of organelles suspended in the gel-like cytosol, the cytoskeleton, and various chemicals (Figure 4.8)."
organelles,are shown in,Figure 4.8,"It is comprised of organelles suspended in the gel-like cytosol, the cytoskeleton, and various chemicals (Figure 4.8)."
cytoplasm,consists of,water,"Even though the cytoplasm consists of 70 to 80 percent water, it has a semi-solid consistency, which comes from the proteins within it."
cytoplasm,has,semi-solid consistency,"Even though the cytoplasm consists of 70 to 80 percent water, it has a semi-solid consistency, which comes from the proteins within it."
semi-solid consistency,comes from,proteins within cytoplasm,"Even though the cytoplasm consists of 70 to 80 percent water, it has a semi-solid consistency, which comes from the proteins within it."
proteins,are in,cytoplasm,"However, proteins are not the only organic molecules in the cytoplasm."
organic molecules,are in,cytoplasm,"However, proteins are not the only organic molecules in the cytoplasm."
glucose,is a type of,simple sugars,"Glucose and other simple sugars, polysaccharides, amino acids, nucleic acids, fatty acids, and derivatives of glycerol are also there."
polysaccharides,are composed of,simple sugars,"Glucose and other simple sugars, polysaccharides, amino acids, nucleic acids, fatty acids, and derivatives of glycerol are also there."
amino acids,are building blocks of,proteins,"Glucose and other simple sugars, polysaccharides, amino acids, nucleic acids, fatty acids, and derivatives of glycerol are also there."
nucleic acids,are building blocks of,DNA and RNA,"Glucose and other simple sugars, polysaccharides, amino acids, nucleic acids, fatty acids, and derivatives of glycerol are also there."
fatty acids,are building blocks of,lipids,"Glucose and other simple sugars, polysaccharides, amino acids, nucleic acids, fatty acids, and derivatives of glycerol are also there."
derivatives of glycerol,are building blocks of,lipids,"Glucose and other simple sugars, polysaccharides, amino acids, nucleic acids, fatty acids, and derivatives of glycerol are also there."
sodium,dissolve in,cytoplasm,"Ions of sodium, potassium, calcium, and many other elements also dissolve in the cytoplasm."
potassium,dissolve in,cytoplasm,"Ions of sodium, potassium, calcium, and many other elements also dissolve in the cytoplasm."
calcium,dissolve in,cytoplasm,"Ions of sodium, potassium, calcium, and many other elements also dissolve in the cytoplasm."
ions,dissolve in,cytoplasm,"Ions of sodium, potassium, calcium, and many other elements also dissolve in the cytoplasm."
elements,dissolve in,cytoplasm,"Ions of sodium, potassium, calcium, and many other elements also dissolve in the cytoplasm."
Many metabolic reactions,take place in,the cytoplasm,"Many metabolic reactions, including protein synthesis, take place in the cytoplasm."
protein synthesis,take place in,the cytoplasm,"Many metabolic reactions, including protein synthesis, take place in the cytoplasm."
nucleus,is organelle of,cell,"Typically, the nucleus is the most prominent organelle in a cell (Figure 4.8)."
cell,contains,nucleus,"Typically, the nucleus is the most prominent organelle in a cell (Figure 4.8)."
Figure 4.8,shows,nucleus,"Typically, the nucleus is the most prominent organelle in a cell (Figure 4.8)."
nucleus,houses,DNA,The nucleus (plural = nuclei) houses the cell's DNA and directs the synthesis of ribosomes and proteins.
nucleus,directs synthesis of,ribosomes,The nucleus (plural = nuclei) houses the cell's DNA and directs the synthesis of ribosomes and proteins.
nucleus,directs synthesis of,proteins,The nucleus (plural = nuclei) houses the cell's DNA and directs the synthesis of ribosomes and proteins.
Figure 4.11,depicts,detailed view,Let's look at it in more detail (Figure 4.11).
nucleus,stores,chromatin,The nucleus stores chromatin (DNA plus proteins) in a gel-like substance called the nucleoplasm.
chromatin,contains,DNA,The nucleus stores chromatin (DNA plus proteins) in a gel-like substance called the nucleoplasm.
chromatin,contains,proteins,The nucleus stores chromatin (DNA plus proteins) in a gel-like substance called the nucleoplasm.
nucleus,contains,nucleoplasm,The nucleus stores chromatin (DNA plus proteins) in a gel-like substance called the nucleoplasm.
nucleolus,is a region of,chromatin,The nucleolus is a condensed chromatin region where ribosome synthesis occurs.
ribosome synthesis,occurs in,nucleolus,The nucleolus is a condensed chromatin region where ribosome synthesis occurs.
nucleus,has boundary,nuclear envelope,We call the nucleus' boundary the nuclear envelope.
phospholipid bilayers,consists of,outer membrane,It consists of two phospholipid bilayers: an outer and an inner membrane.
phospholipid bilayers,consists of,inner membrane,It consists of two phospholipid bilayers: an outer and an inner membrane.
nuclear membrane,is continuous with,endoplasmic reticulum,The nuclear membrane is continuous with the endoplasmic reticulum.
nuclear pores,allow,substances to enter and exit the nucleus,Nuclear pores allow substances to enter and exit the nucleus.
substances,enter or exit,nucleus,Nuclear pores allow substances to enter and exit the nucleus.
nuclear envelope,is a constituent of,nucleus,The nuclear envelope is a double-membrane structure that constitutes the nucleus' outermost portion (Figure 4.11).
nuclear envelope,has inner membrane,phospholipid bilayers,Both the nuclear envelope's inner and outer membranes are phospholipid bilayers.
nuclear envelope,has outer membrane,phospholipid bilayers,Both the nuclear envelope's inner and outer membranes are phospholipid bilayers.
nuclear envelope,contains,pores,"The nuclear envelope is punctuated with pores that control the passage of ions, molecules, and RNA between the nucleoplasm and cytoplasm."
pores,control passage of,ions,"The nuclear envelope is punctuated with pores that control the passage of ions, molecules, and RNA between the nucleoplasm and cytoplasm."
pores,control passage of,molecules,"The nuclear envelope is punctuated with pores that control the passage of ions, molecules, and RNA between the nucleoplasm and cytoplasm."
pores,control passage of,RNA,"The nuclear envelope is punctuated with pores that control the passage of ions, molecules, and RNA between the nucleoplasm and cytoplasm."
nucleoplasm,is separated from,cytoplasm,"The nuclear envelope is punctuated with pores that control the passage of ions, molecules, and RNA between the nucleoplasm and cytoplasm."
nucleoplasm,is semi-solid fluid inside,nucleus,"The nucleoplasm is the semi-solid fluid inside the nucleus, where we find the chromatin and the nucleolus."
nucleoplasm,contains,chromatin,"The nucleoplasm is the semi-solid fluid inside the nucleus, where we find the chromatin and the nucleolus."
nucleoplasm,contains,nucleolus,"The nucleoplasm is the semi-solid fluid inside the nucleus, where we find the chromatin and the nucleolus."
chromatin,is composed of,DNA,a) This image shows various levels of chromatin's organization (DNA and protein).
chromatin,is composed of,protein,a) This image shows various levels of chromatin's organization (DNA and protein).
image,shows,chromosomes,b) This image shows paired chromosomes.
chromosomes,are paired,,b) This image shows paired chromosomes.
nucleus,directs synthesis of,ribosomes,"We already know that the nucleus directs the synthesis of ribosomes, but how does it do this?"
chromosomes,have sections of DNA that encode,ribosomal RNA,Some chromosomes have sections of DNA that encode ribosomal RNA.
nucleolus,aggregates,ribosomal RNA,A darkly staining area within the nucleus called the nucleolus (plural = nucleoli) aggregates the ribosomal RNA with associated proteins to assemble the ribosomal subunits that are then transported out through the pores in the nuclear envelope to the cytoplasm.
nucleolus,aggregates,proteins,A darkly staining area within the nucleus called the nucleolus (plural = nucleoli) aggregates the ribosomal RNA with associated proteins to assemble the ribosomal subunits that are then transported out through the pores in the nuclear envelope to the cytoplasm.
nucleolus,assembles,ribosomal subunits,A darkly staining area within the nucleus called the nucleolus (plural = nucleoli) aggregates the ribosomal RNA with associated proteins to assemble the ribosomal subunits that are then transported out through the pores in the nuclear envelope to the cytoplasm.
ribosomal subunits,transported to,cytoplasm,A darkly staining area within the nucleus called the nucleolus (plural = nucleoli) aggregates the ribosomal RNA with associated proteins to assemble the ribosomal subunits that are then transported out through the pores in the nuclear envelope to the cytoplasm.
Ribosomes,responsible for,protein synthesis,Ribosomes are the cellular structures responsible for protein synthesis.
ribosomes,appear as,clusters,"When we view them through an electron microscope, ribosomes appear either as clusters (polyribosomes) or single, tiny dots that float freely in the cytoplasm."
ribosomes,appear as,"single, tiny dots","When we view them through an electron microscope, ribosomes appear either as clusters (polyribosomes) or single, tiny dots that float freely in the cytoplasm."
clusters,are,polyribosomes,"When we view them through an electron microscope, ribosomes appear either as clusters (polyribosomes) or single, tiny dots that float freely in the cytoplasm."
polyribosomes,are found in,cytoplasm,"When we view them through an electron microscope, ribosomes appear either as clusters (polyribosomes) or single, tiny dots that float freely in the cytoplasm."
"single, tiny dots",float in,cytoplasm,"When we view them through an electron microscope, ribosomes appear either as clusters (polyribosomes) or single, tiny dots that float freely in the cytoplasm."
plasma membrane,attached to,cytoplasmic side,They may be attached to the plasma membrane's cytoplasmic side or the endoplasmic reticulum's cytoplasmic side and the nuclear envelope's outer membrane (Figure 4.8).
endoplasmic reticulum,attached to,cytoplasmic side,They may be attached to the plasma membrane's cytoplasmic side or the endoplasmic reticulum's cytoplasmic side and the nuclear envelope's outer membrane (Figure 4.8).
nuclear envelope,attached to,outer membrane,They may be attached to the plasma membrane's cytoplasmic side or the endoplasmic reticulum's cytoplasmic side and the nuclear envelope's outer membrane (Figure 4.8).
Figure 4.8,depicts,"plasma membrane, cytoplasmic side, endoplasmic reticulum, nuclear envelope, outer membrane",They may be attached to the plasma membrane's cytoplasmic side or the endoplasmic reticulum's cytoplasmic side and the nuclear envelope's outer membrane (Figure 4.8).
ribosomes,consist of,two subunits,"Electron microscopy shows us that ribosomes, which are large protein and RNA complexes, consist of two subunits, large and small (Figure 4.13)."
ribosomes,are,large protein and RNA complexes,"Electron microscopy shows us that ribosomes, which are large protein and RNA complexes, consist of two subunits, large and small (Figure 4.13)."
subunits,are,large and small,"Electron microscopy shows us that ribosomes, which are large protein and RNA complexes, consist of two subunits, large and small (Figure 4.13)."
ribosomes,shown by,electron microscopy,"Electron microscopy shows us that ribosomes, which are large protein and RNA complexes, consist of two subunits, large and small (Figure 4.13)."
electron microscopy,shows,ribosomes,"Electron microscopy shows us that ribosomes, which are large protein and RNA complexes, consist of two subunits, large and small (Figure 4.13)."
ribosomes,shown in,Figure 4.13,"Electron microscopy shows us that ribosomes, which are large protein and RNA complexes, consist of two subunits, large and small (Figure 4.13)."
Ribosomes,receive orders from,nucleus,"Ribosomes receive their ""orders"" for protein synthesis from the nucleus where the DNA transcribes into messenger RNA (mRNA)."
nucleus,transcribes DNA into,messenger RNA,"Ribosomes receive their ""orders"" for protein synthesis from the nucleus where the DNA transcribes into messenger RNA (mRNA)."
messenger RNA,used for,protein synthesis,"Ribosomes receive their ""orders"" for protein synthesis from the nucleus where the DNA transcribes into messenger RNA (mRNA)."
mRNA,travels to,ribosomes,"The mRNA travels to the ribosomes, which translate the code provided by the sequence of the nitrogenous bases in the mRNA into a specific order of amino acids in a protein."
ribosomes,translate code provided by,sequence of nitrogenous bases in mRNA,"The mRNA travels to the ribosomes, which translate the code provided by the sequence of the nitrogenous bases in the mRNA into a specific order of amino acids in a protein."
sequence of nitrogenous bases in mRNA,provide code for,specific order of amino acids in protein,"The mRNA travels to the ribosomes, which translate the code provided by the sequence of the nitrogenous bases in the mRNA into a specific order of amino acids in a protein."
Amino acids,are the building blocks of,proteins,Amino acids are the building blocks of proteins.
ribosomes,comprise,large subunit,A large subunit (top) and a small subunit (bottom) comprise ribosomes.
ribosomes,comprise,small subunit,A large subunit (top) and a small subunit (bottom) comprise ribosomes.
ribosomes,assemble,amino acids,"During protein synthesis, ribosomes assemble amino acids into proteins."
ribosomes,synthesize proteins,protein synthesis,"During protein synthesis, ribosomes assemble amino acids into proteins."
protein synthesis,is essential function of,all cells,"Because protein synthesis is an essential function of all cells (including enzymes, hormones, antibodies, pigments, structural components, and surface receptors), there are ribosomes in practically every cell."
protein synthesis,includes,enzymes,"Because protein synthesis is an essential function of all cells (including enzymes, hormones, antibodies, pigments, structural components, and surface receptors), there are ribosomes in practically every cell."
protein synthesis,includes,hormones,"Because protein synthesis is an essential function of all cells (including enzymes, hormones, antibodies, pigments, structural components, and surface receptors), there are ribosomes in practically every cell."
protein synthesis,includes,antibodies,"Because protein synthesis is an essential function of all cells (including enzymes, hormones, antibodies, pigments, structural components, and surface receptors), there are ribosomes in practically every cell."
protein synthesis,includes,pigments,"Because protein synthesis is an essential function of all cells (including enzymes, hormones, antibodies, pigments, structural components, and surface receptors), there are ribosomes in practically every cell."
protein synthesis,includes,structural components,"Because protein synthesis is an essential function of all cells (including enzymes, hormones, antibodies, pigments, structural components, and surface receptors), there are ribosomes in practically every cell."
protein synthesis,includes,surface receptors,"Because protein synthesis is an essential function of all cells (including enzymes, hormones, antibodies, pigments, structural components, and surface receptors), there are ribosomes in practically every cell."
cells,have,ribosomes,"Because protein synthesis is an essential function of all cells (including enzymes, hormones, antibodies, pigments, structural components, and surface receptors), there are ribosomes in practically every cell."
Ribosomes,are abundant in,cells,Ribosomes are particularly abundant in cells that synthesize large amounts of protein.
cells,synthesize,protein,Ribosomes are particularly abundant in cells that synthesize large amounts of protein.
cells,synthesize large amounts of,protein,Ribosomes are particularly abundant in cells that synthesize large amounts of protein.
pancreas,responsible for creating,digestive enzymes,"For example, the pancreas is responsible for creating several digestive enzymes and the cells that produce these enzymes contain many ribosomes."
cells,produce,enzymes,"For example, the pancreas is responsible for creating several digestive enzymes and the cells that produce these enzymes contain many ribosomes."
cells,contain,ribosomes,"For example, the pancreas is responsible for creating several digestive enzymes and the cells that produce these enzymes contain many ribosomes."
form,follows,function,"Thus, we see another example of form following function."
mitochondria,called,powerhouses,"Scientists often call mitochondria (singular = mitochondrion) the cell's ""powerhouses"" or ""energy factories"" because they are responsible for making adenosine triphosphate (ATP), the cell's main energy-carrying molecule."
mitochondria,called,energy factories,"Scientists often call mitochondria (singular = mitochondrion) the cell's ""powerhouses"" or ""energy factories"" because they are responsible for making adenosine triphosphate (ATP), the cell's main energy-carrying molecule."
mitochondria,responsible for,making adenosine triphosphate,"Scientists often call mitochondria (singular = mitochondrion) the cell's ""powerhouses"" or ""energy factories"" because they are responsible for making adenosine triphosphate (ATP), the cell's main energy-carrying molecule."
adenosine triphosphate,is,main energy-carrying molecule,"Scientists often call mitochondria (singular = mitochondrion) the cell's ""powerhouses"" or ""energy factories"" because they are responsible for making adenosine triphosphate (ATP), the cell's main energy-carrying molecule."
ATP,represents,cell,ATP represents the cell's short-term stored energy.
cell,stores,ATP,ATP represents the cell's short-term stored energy.
Cellular respiration,is the process of making,ATP,Cellular respiration is the process of making ATP using the chemical energy in glucose and other nutrients.
Cellular respiration,uses,glucose,Cellular respiration is the process of making ATP using the chemical energy in glucose and other nutrients.
Cellular respiration,uses,other nutrients,Cellular respiration is the process of making ATP using the chemical energy in glucose and other nutrients.
mitochondria,uses,oxygen,"In mitochondria, this process uses oxygen and produces carbon dioxide as a waste product."
mitochondria,produces,carbon dioxide,"In mitochondria, this process uses oxygen and produces carbon dioxide as a waste product."
you,exhale,carbon dioxide,"In fact, the carbon dioxide that you exhale with every breath comes from the cellular reactions that produce carbon dioxide as a byproduct."
cellular reactions,produce,carbon dioxide,"In fact, the carbon dioxide that you exhale with every breath comes from the cellular reactions that produce carbon dioxide as a byproduct."
cellular reactions,produce,byproduct,"In fact, the carbon dioxide that you exhale with every breath comes from the cellular reactions that produce carbon dioxide as a byproduct."
muscle cells,have,high concentration of mitochondria,"In keeping with our theme of form following function, it is important to point out that muscle cells have a very high concentration of mitochondria that produce ATP."
mitochondria,produce,ATP,"In keeping with our theme of form following function, it is important to point out that muscle cells have a very high concentration of mitochondria that produce ATP."
muscle cells,require energy,keep body moving,Your muscle cells need considerable energy to keep your body moving.
body,is moved by,muscle cells,Your muscle cells need considerable energy to keep your body moving.
cells,do not make,ATP,"When your cells don't get enough oxygen, they do not make much ATP."
cells,do not get enough,oxygen,"When your cells don't get enough oxygen, they do not make much ATP."
producing,accompanies,lactic acid,"Instead, producing lactic acid accompanies the small amount of ATP they make in the absence of oxygen."
they,make,small amount of ATP,"Instead, producing lactic acid accompanies the small amount of ATP they make in the absence of oxygen."
they,make,ATP,"Instead, producing lactic acid accompanies the small amount of ATP they make in the absence of oxygen."
they,make,in the absence of oxygen,"Instead, producing lactic acid accompanies the small amount of ATP they make in the absence of oxygen."
Mitochondria,are organelles of the cell,"oval-shaped, double membrane structures","Mitochondria are oval-shaped, double membrane organelles (Figure 4.14) that have their own ribosomes and DNA."
Mitochondria,have their own ribosomes,yes,"Mitochondria are oval-shaped, double membrane organelles (Figure 4.14) that have their own ribosomes and DNA."
Mitochondria,have their own DNA,yes,"Mitochondria are oval-shaped, double membrane organelles (Figure 4.14) that have their own ribosomes and DNA."
Mitochondria,are shown in Figure 4.14,yes,"Mitochondria are oval-shaped, double membrane organelles (Figure 4.14) that have their own ribosomes and DNA."
double membrane,is a characteristic of mitochondria,yes,"Mitochondria are oval-shaped, double membrane organelles (Figure 4.14) that have their own ribosomes and DNA."
membrane,is embedded with,proteins,Each membrane is a phospholipid bilayer embedded with proteins.
inner layer,has,folds,The inner layer has folds called cristae.
folds,called,cristae,The inner layer has folds called cristae.
area,is surrounded by,folds,We call the area surrounded by the folds the mitochondrial matrix.
folds,surround,mitochondrial matrix,We call the area surrounded by the folds the mitochondrial matrix.
cristae,has role in,cellular respiration,The cristae and the matrix have different roles in cellular respiration.
matrix,has role in,cellular respiration,The cristae and the matrix have different roles in cellular respiration.
electron micrograph,shows,mitochondrion,This electron micrograph shows a mitochondrion through an electron microscope.
mitochondrion,seen through,electron microscope,This electron micrograph shows a mitochondrion through an electron microscope.
organelle,has outer membrane,outer membrane,This organelle has an outer membrane and an inner membrane.
organelle,has inner membrane,inner membrane,This organelle has an outer membrane and an inner membrane.
inner membrane,contains,cristae,"The inner membrane contains folds, called cristae, which increase its surface area."
cristae,increase surface area of,inner membrane,"The inner membrane contains folds, called cristae, which increase its surface area."
space,is between,membranes,"We call the space between the two membranes the intermembrane space, and the space inside the inner membrane the mitochondrial matrix."
space,is inside,membrane,"We call the space between the two membranes the intermembrane space, and the space inside the inner membrane the mitochondrial matrix."
membrane,encloses,mitochondrial matrix,"We call the space between the two membranes the intermembrane space, and the space inside the inner membrane the mitochondrial matrix."
ATP synthesis,takes place on,inner membrane,ATP synthesis takes place on the inner membrane.
Peroxisomes,are enclosed by,single membranes,"Peroxisomes are small, round organelles enclosed by single membranes."
oxidation reactions,break down,fatty acids,They carry out oxidation reactions that break down fatty acids and amino acids.
oxidation reactions,break down,amino acids,They carry out oxidation reactions that break down fatty acids and amino acids.
body,contains,poisons,They also detoxify many poisons that may enter the body.
poisons,enter into,body,They also detoxify many poisons that may enter the body.
body,detoxify,poisons,They also detoxify many poisons that may enter the body.
oxidation reactions,release,hydrogen peroxide,"Many of these oxidation reactions release hydrogen peroxide, H2O2, which would be damaging to cells; however, when these reactions are confined to peroxisomes, enzymes safely break down the H2O2 into oxygen and water.)"
hydrogen peroxide,would be damaging to,cells,"Many of these oxidation reactions release hydrogen peroxide, H2O2, which would be damaging to cells; however, when these reactions are confined to peroxisomes, enzymes safely break down the H2O2 into oxygen and water.)"
reactions,confined to,peroxisomes,"Many of these oxidation reactions release hydrogen peroxide, H2O2, which would be damaging to cells; however, when these reactions are confined to peroxisomes, enzymes safely break down the H2O2 into oxygen and water.)"
enzymes,break down,H2O2,"Many of these oxidation reactions release hydrogen peroxide, H2O2, which would be damaging to cells; however, when these reactions are confined to peroxisomes, enzymes safely break down the H2O2 into oxygen and water.)"
