keywords,sentence
"['Salmonella bacteria', 'light microscope']",a) These Salmonella bacteria appear as tiny purple dots when viewed with a light microscope.
"['Salmonella', 'human cells']",b) This scanning electron microscope micrograph shows Salmonella bacteria (in red) invading human cells (yellow).
['Salmonella'],"Even though subfigure (b) shows a different Salmonella specimen than subfigure (a), you can still observe the comparative increase in magnification and detail."
['HowBig'],"For another perspective on cell size, try the HowBig interactive at this site."
"['Antony van Leeuwenhoek', 'Dutch']","The microscopes we use today are far more complex than those that Dutch shopkeeper Antony van Leeuwenhoek, used in the 1600s."
"['van Leeuwenhoek', 'animalcules']","Skilled in crafting lenses, van Leeuwenhoek observed the movements of single-celled organisms, which he collectively termed ""animalcules."""
"['Robert Hooke', 'Micrographia']","In the 1665 publication Micrographia, experimental scientist Robert Hooke coined the term ""cell"" for the box-like structures he observed when viewing cork tissue through a lens."
"['van Leeuwenhoek', 'bacteria', 'protozoa']","In the 1670s, van Leeuwenhoek discovered bacteria and protozoa."
"['microscope construction', 'staining techniques']","Later advances in lenses, microscope construction, and staining techniques enabled other scientists to see some components inside cells."
"['Matthias Schleiden', 'Theodor Schwann']","By the late 1830s, botanist Matthias Schleiden and zoologist Theodor Schwann were studying tissues and proposed the unified cell theory, which states that one or more cells comprise all living things, the cell is the basic unit of life, and new cells arise from existing cells."
['Rudolf Virchow'],Rudolf Virchow later made important contributions to this theory.
['Pap smear'],Have you ever heard of a medical test called a Pap smear (Figure 4.4)?
"['doctor', 'patient', 'uterine cervix', 'medical lab', 'cytotechnologist', 'cervical cancer', 'microbial infection']","In this test, a doctor takes a small sample of cells from the patient's uterine cervix and sends it to a medical lab where a cytotechnologist stains the cells and examines them for any changes that could indicate cervical cancer or a microbial infection."
['Cytotechnologists'],"Cytotechnologists (cyto- = ""cell"") are professionals who study cells via microscopic examinations and other laboratory tests."
['cellular changes'],They are trained to determine which cellular changes are within normal limits and which are abnormal.
['cervical cells'],Their focus is not limited to cervical cells.
"['cellular specimens', 'organs']",They study cellular specimens that come from all organs.
"['pathologist', 'medical doctor']","When they notice abnormalities, they consult a pathologist, a medical doctor who interprets and diagnoses changes that disease in body tissue and fluids cause."
['Cytotechnologists'],Cytotechnologists play a vital role in saving people's lives.
"['doctors', 'abnormalities', 'patient', 'treatment', 'successful outcome']","When doctors discover abnormalities early, a patient's treatment can begin sooner, which usually increases the chances of a successful outcome."
"['uterine cervix cells', 'Pap smear', 'light microscope']","These uterine cervix cells, viewed through a light microscope, are from a Pap smear."
['Normal cells'],Normal cells are on the left.
"['human papillomavirus', 'HPV']",The cells on the right are infected with human papillomavirus (HPV).
['infected cells'],Notice that the infected cells are larger.
['nuclei'],"Also, two of these cells each have two nuclei instead of one, the normal number."
